"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Elev Gain","Elev Loss","Avg Run Cadence","Avg Stride Length","Calories","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","18:01","18:01","1.02","17:38","88","114","84","--","125","0.46","66","12:04","157","17:52","17:29"
"2","0:23.5","18:25","0.02","23:19","93","94","--","--","119","0.36","1","16:23","119","0:23.5","23:19"
"3","1:04.6","19:29","0.05","21:39","95","96","--","--","92","0.50","4","16:15","131","1:04.6","21:40"
"4","0:27.7","19:57","0.02","21:37","94","95","10","--","122","0.38","1","17:42","122","0:27","21:05"
"5","0:11.4","20:08","0.01","24:13","95","95","--","--","0","--","0","18:36","0","0:11.4","24:14"
"6","1:01.2","21:09","0.04","26:32","96","106","--","--","117","0.32","4","20:18","119","0:45","19:31"
"7","0:52.7","22:02","0.04","23:21","99","105","--","--","119","0.36","3","19:38","119","0:40","17:44"
"8","0:50.8","22:53","0.03","29:36","102","127","10","--","120","0.28","3","20:05","122","0:15","8:44"
"9","1:48:25","2:11:18","2.99","36:14","132","175","452","87","116","0.24","790","13:02","159","1:05:22","21:51"
"Summary","2:11:18","2:11:18","4.21","31:09","125","175","556","87","119","0.27","872","12:04","159","1:27:01","20:39"
